kana,romaji,system,grp,x,y
あ,a,hiragana,none,11,5
い,i,hiragana,none,11,4
う,u,hiragana,none,11,3
え,e,hiragana,none,11,2
お,o,hiragana,none,11,1
か,ka,hiragana,none,10,5
き,ki,hiragana,none,10,4
く,ku,hiragana,none,10,3
け,ke,hiragana,none,10,2
こ,ko,hiragana,none,10,1
さ,sa,hiragana,none,9,5
し,shi,hiragana,none,9,4
す,su,hiragana,none,9,3
せ,se,hiragana,none,9,2
そ,so,hiragana,none,9,1
た,ta,hiragana,none,8,5
ち,chi,hiragana,none,8,4
つ,tsu,hiragana,none,8,3
て,te,hiragana,none,8,2
と,to,hiragana,none,8,1
な,na,hiragana,none,7,5
に,ni,hiragana,none,7,4
ぬ,nu,hiragana,none,7,3
ね,ne,hiragana,none,7,2
の,no,hiragana,none,7,1
は,ha,hiragana,none,6,5
ひ,hi,hiragana,none,6,4
ふ,fu,hiragana,none,6,3
へ,he,hiragana,none,6,2
ほ,ho,hiragana,none,6,1
ま,ma,hiragana,none,5,5
み,mi,hiragana,none,5,4
む,mu,hiragana,none,5,3
め,me,hiragana,none,5,2
も,mo,hiragana,none,5,1
や,ya,hiragana,none,4,5
ゆ,yu,hiragana,none,4,3
よ,yo,hiragana,none,4,1
ら,ra,hiragana,none,3,5
り,ri,hiragana,none,3,4
る,ru,hiragana,none,3,3
れ,re,hiragana,none,3,2
ろ,ro,hiragana,none,3,1
わ,wa,hiragana,none,2,5
を,wo,hiragana,none,2,1
ん,n,hiragana,none,1,5
が,ga,hiragana,dakuten,10,5
ぎ,gi,hiragana,dakuten,10,4
ぐ,gu,hiragana,dakuten,10,3
げ,ge,hiragana,dakuten,10,2
ご,go,hiragana,dakuten,10,1
ざ,za,hiragana,dakuten,9,5
じ,ji,hiragana,dakuten,9,4
ず,zu,hiragana,dakuten,9,3
ぜ,ze,hiragana,dakuten,9,2
ぞ,zo,hiragana,dakuten,9,1
だ,da,hiragana,dakuten,8,5
ぢ,ji,hiragana,dakuten,8,4
づ,zu,hiragana,dakuten,8,3
で,de,hiragana,dakuten,8,2
ど,do,hiragana,dakuten,8,1
ば,ba,hiragana,dakuten,6,5
び,bi,hiragana,dakuten,6,4
ぶ,bu,hiragana,dakuten,6,3
べ,be,hiragana,dakuten,6,2
ぼ,bo,hiragana,dakuten,6,1
ぱ,pa,hiragana,handakuten,6,5
ぴ,pi,hiragana,handakuten,6,4
ぷ,pu,hiragana,handakuten,6,3
ぺ,pe,hiragana,handakuten,6,2
ぽ,po,hiragana,handakuten,6,1
きゃ,kya,hiragana,youon,10,4
きゅ,kyu,hiragana,youon,10,4
きょ,kyo,hiragana,youon,10,4
しゃ,sha,hiragana,youon,9,4
しゅ,shu,hiragana,youon,9,4
しょ,sho,hiragana,youon,9,4
ちゃ,cha,hiragana,youon,8,4
ちゅ,chu,hiragana,youon,8,4
ちょ,cho,hiragana,youon,8,4
にゃ,nya,hiragana,youon,7,4
にゅ,nyu,hiragana,youon,7,4
にょ,nyo,hiragana,youon,7,4
ひゃ,hya,hiragana,youon,6,4
ひゅ,hyu,hiragana,youon,6,4
ひょ,hyo,hiragana,youon,6,4
みゃ,mya,hiragana,youon,5,4
みゅ,myu,hiragana,youon,5,4
みょ,myo,hiragana,youon,5,4
りゃ,rya,hiragana,youon,3,4
りゅ,ryu,hiragana,youon,3,4
りょ,ryo,hiragana,youon,3,4
ぎゃ,gya,hiragana,youondakuten,10,4
ぎゅ,gyu,hiragana,youondakuten,10,4
ぎょ,gyo,hiragana,youondakuten,10,4
じゃ,ja,hiragana,youondakuten,9,4
じゅ,ju,hiragana,youondakuten,9,4
じょ,jo,hiragana,youondakuten,9,4
びゃ,bya,hiragana,youondakuten,6,4
びゅ,byu,hiragana,youondakuten,6,4
びょ,byo,hiragana,youondakuten,6,4
ぴゃ,pya,hiragana,youonhandakuten,6,4
ぴゅ,pyu,hiragana,youonhandakuten,6,4
ぴょ,pyo,hiragana,youonhandakuten,6,4
ア,a,katakana,none,11,5
イ,i,katakana,none,11,4
ウ,u,katakana,none,11,3
エ,e,katakana,none,11,2
オ,o,katakana,none,11,1
カ,ka,katakana,none,10,5
キ,ki,katakana,none,10,4
ク,ku,katakana,none,10,3
ケ,ke,katakana,none,10,2
コ,ko,katakana,none,10,1
サ,sa,katakana,none,9,5
シ,shi,katakana,none,9,4
ス,su,katakana,none,9,3
セ,se,katakana,none,9,2
ソ,so,katakana,none,9,1
タ,ta,katakana,none,8,5
チ,chi,katakana,none,8,4
ツ,tsu,katakana,none,8,3
テ,te,katakana,none,8,2
ト,to,katakana,none,8,1
ナ,na,katakana,none,7,5
ニ,ni,katakana,none,7,4
ヌ,nu,katakana,none,7,3
ネ,ne,katakana,none,7,2
ノ,no,katakana,none,7,1
ハ,ha,katakana,none,6,5
ヒ,hi,katakana,none,6,4
フ,fu,katakana,none,6,3
ヘ,he,katakana,none,6,2
ホ,ho,katakana,none,6,1
